,FRA,FRA
hours,wind (won),solar (solEB)
755,0.496341463,0.069204545
756,0.49902439,0.114431818
757,0.478353659,0.141590909
758,0.449634146,0.131136364
759,0.443597561,0.115
760,0.403597561,0.082954545
761,0.368292683,0.048068182
762,0.360243902,0.013295455
763,0.35304878,0
764,0.348597561,0
765,0.339207317,0
766,0.345792683,0
767,0.359207317,0
768,0.375670732,0
769,0.380792683,0
770,0.345731707,0
771,0.326829268,0
772,0.329756098,0
773,0.334573171,0
774,0.343963415,0
775,0.380609756,0
776,0.42,0
777,0.435426829,0.000227273
778,0.453170732,0.025227273
779,0.470243902,0.088295455
780,0.536829268,0.1575
781,0.596280488,0.205113636
782,0.658231707,0.248522727
783,0.695731707,0.252954545
784,0.698109756,0.211363636
785,0.678597561,0.143181818
786,0.62445122,0.045568182
787,0.579573171,0.001363636
788,0.528963415,0
789,0.491158537,0
790,0.453292683,0
791,0.417926829,0
792,0.388414634,0
793,0.350426829,0
794,0.317378049,0
795,0.295365854,0
796,0.286219512,0
797,0.267865854,0
798,0.242134146,0
799,0.222621951,0
800,0.215670732,0
801,0.206646341,0.003068182
802,0.204512195,0.063522727
803,0.202134146,0.175795455
804,0.211097561,0.268977273
805,0.269085366,0.296704545
806,0.345182927,0.319431818
807,0.383292683,0.282840909
808,0.43304878,0.227613636
809,0.474817073,0.137840909
810,0.502804878,0.043522727
811,0.542195122,0.000909091
812,0.560609756,0
813,0.552256098,0
814,0.533780488,0
815,0.529573171,0
816,0.514146341,0
817,0.511646341,0
818,0.517865854,0
819,0.517987805,0
820,0.500487805,0
821,0.504573171,0
822,0.502560976,0
823,0.511890244,0
824,0.526280488,0
825,0.525670732,0.002159091
826,0.506829268,0.029659091
827,0.508536585,0.079886364
828,0.512256098,0.141704545
829,0.529085366,0.182727273
830,0.543292683,0.182840909
831,0.53902439,0.176931818
832,0.505853659,0.153977273
833,0.509207317,0.096818182
834,0.506585366,0.029545455
835,0.489512195,0.000568182
836,0.476829268,0
837,0.459573171,0
838,0.446341463,0
839,0.442012195,0
840,0.44195122,0
841,0.45945122,0
842,0.512256098,0
843,0.537560976,0
844,0.589512195,0
845,0.650609756,0
846,0.665914634,0
847,0.664634146,0
848,0.683292683,0
849,0.689512195,0.002272727
850,0.662317073,0.038977273
851,0.611768293,0.104090909
852,0.56902439,0.173068182
853,0.55554878,0.183068182
854,0.56347561,0.17875
855,0.559573171,0.178068182
856,0.581158537,0.153409091
857,0.57695122,0.108409091
858,0.582378049,0.039659091
859,0.566646341,0.001136364
860,0.5325,0
861,0.500670732,0
862,0.504207317,0
863,0.550182927,0
864,0.589085366,0
865,0.594390244,0
866,0.594268293,0
867,0.624817073,0
868,0.634939024,0
869,0.610121951,0
870,0.594207317,0
871,0.573353659,0
872,0.56445122,0
873,0.563963415,0.003409091
874,0.557378049,0.035568182
875,0.53695122,0.100795455
876,0.542743902,0.159545455
877,0.601219512,0.197613636
878,0.632195122,0.227840909
879,0.626036585,0.218295455
880,0.602621951,0.172386364
881,0.606097561,0.118863636
882,0.611036585,0.040681818
883,0.58597561,0.001477273
884,0.546768293,0
885,0.514878049,0
886,0.474817073,0
887,0.452073171,0
888,0.435792683,0
889,0.418597561,0
890,0.418414634,0
891,0.431341463,0
892,0.43445122,0
893,0.431341463,0
894,0.421341463,0
895,0.40597561,0
896,0.389573171,0
897,0.38,0.003295455
898,0.350182927,0.059318182
899,0.323963415,0.158295455
900,0.337134146,0.259545455
901,0.340365854,0.2975
902,0.328414634,0.296931818
903,0.303109756,0.266477273
904,0.302804878,0.217727273
905,0.296097561,0.132727273
906,0.27402439,0.041931818
907,0.245731707,0.001136364
908,0.215365854,0
909,0.195121951,0
910,0.185243902,0
911,0.167743902,0
912,0.144329268,0
913,0.124756098,0
914,0.111402439,0
915,0.099329268,0
916,0.096158537,0
917,0.112987805,0
918,0.127134146,0
919,0.129573171,0
920,0.138109756,0
921,0.139207317,0.003977273
922,0.130243902,0.047045455
923,0.115731707,0.121931818
924,0.127134146,0.194204545
925,0.129329268,0.242045455
926,0.147926829,0.250568182
927,0.169329268,0.222386364
928,0.176341463,0.180681818
929,0.157073171,0.120795455
930,0.152926829,0.0475
931,0.15945122,0.002045455
932,0.168841463,0
933,0.164939024,0
934,0.154268293,0
935,0.155426829,0
936,0.146707317,0
937,0.134939024,0
938,0.119268293,0
939,0.115182927,0
940,0.112926829,0
941,0.121341463,0
942,0.12402439,0
943,0.122256098,0
944,0.120182927,0
945,0.117012195,0.004431818
946,0.122804878,0.055909091
947,0.11652439,0.148977273
948,0.115304878,0.228068182
949,0.114390244,0.257840909
950,0.10695122,0.241136364
951,0.101280488,0.222159091
952,0.097195122,0.168068182
953,0.097560976,0.102840909
954,0.090060976,0.030113636
955,0.086768293,0.000454545
956,0.090182927,0
957,0.100243902,0
958,0.10195122,0
959,0.101707317,0
960,0.110243902,0
961,0.119329268,0
962,0.124756098,0
963,0.133658537,0
964,0.151280488,0
965,0.165914634,0
966,0.188780488,0
967,0.226280488,0
968,0.256463415,0
969,0.288231707,0.003522727
970,0.311890244,0.038181818
971,0.330487805,0.108068182
972,0.360609756,0.157386364
973,0.397195122,0.184659091
974,0.422195122,0.175340909
975,0.437073171,0.141931818
976,0.46554878,0.101704545
977,0.491402439,0.052727273
978,0.517317073,0.014772727
979,0.541890244,0.000340909
980,0.563353659,0
981,0.546585366,0
982,0.515609756,0
983,0.470609756,0
984,0.44152439,0
985,0.404634146,0
986,0.364512195,0
987,0.336158537,0
988,0.319329268,0
989,0.285853659,0
990,0.251097561,0
991,0.219085366,0
992,0.212012195,0
993,0.200670732,0.000681818
994,0.187865854,0.025227273
995,0.166707317,0.077840909
996,0.134817073,0.120681818
997,0.119756098,0.154090909
998,0.128841463,0.164772727
999,0.129817073,0.164886364
1000,0.11152439,0.142727273
1001,0.104817073,0.097840909
1002,0.091768293,0.035113636
1003,0.086707317,0.001931818
1004,0.082560976,0
1005,0.083170732,0
1006,0.087743902,0
1007,0.091829268,0
1008,0.093109756,0
1009,0.089817073,0
1010,0.087682927,0
1011,0.084817073,0
1012,0.086829268,0
1013,0.091829268,0
1014,0.1025,0
1015,0.116036585,0
1016,0.129512195,0
1017,0.140182927,0.003863636
1018,0.143414634,0.039886364
1019,0.147987805,0.098068182
1020,0.145243902,0.155113636
1021,0.130609756,0.195568182
1022,0.124268293,0.189090909
1023,0.116829268,0.173522727
1024,0.117439024,0.126931818
1025,0.117926829,0.079772727
1026,0.112560976,0.0275
1027,0.10554878,0.000681818
1028,0.105,0
1029,0.102865854,0
1030,0.099268293,0
1031,0.088231707,0
1032,0.081280488,0
1033,0.079085366,0
1034,0.073719512,0
1035,0.072256098,0
1036,0.067987805,0
1037,0.074756098,0
1038,0.078536585,0
1039,0.08445122,0
1040,0.091097561,0
1041,0.10304878,0.006136364
1042,0.104512195,0.057386364
1043,0.102012195,0.144545455
1044,0.100609756,0.223181818
1045,0.101768293,0.280113636
1046,0.110121951,0.294090909
1047,0.112682927,0.279204545
1048,0.112682927,0.235
1049,0.115609756,0.155681818
1050,0.117134146,0.059659091
1051,0.120609756,0.002954545
1052,0.13847561,0
1053,0.159268293,0
1054,0.180182927,0
1055,0.197256098,0
1056,0.219390244,0
1057,0.241036585,0
1058,0.244939024,0
1059,0.256097561,0
1060,0.274634146,0
1061,0.292865854,0
1062,0.307682927,0
1063,0.333658537,0
1064,0.343231707,0
1065,0.35054878,0.009545455
1066,0.354939024,0.053863636
1067,0.344512195,0.109772727
1068,0.3425,0.151704545
1069,0.336280488,0.193522727
1070,0.332195122,0.222272727
1071,0.320243902,0.224090909
1072,0.323902439,0.176818182
1073,0.299329268,0.12375
